title,stack,url
Sr Solutions Engineer (integrations),"Python,FastApi,SQL,JavaScript,HTML,CSS,Kubernetes,Vue",https://djinni.co/jobs/606488-sr-solutions-engineer-integrations-/
Продуктова компанія знаходиться в пошуку Python Engineer для створення продукту з нуля,Python,https://djinni.co/jobs/606399-produktova-kompaniia-znakhodit-sia-v-poshuku-/
Python Developer,"Python,MySQL,PostgreSQL,SQL,Git,Docker,JavaScript,Linux",https://djinni.co/jobs/505763-python-developer/
Middle Python Developer,"Python,Django,Redis,SQL,Celery,AWS,Docker",https://djinni.co/jobs/606597-middle-python-developer/
Backend Python Engineer,"Python,Django,Mongo,SQL,Celery,AWS,Docker,Kubernetes",https://djinni.co/jobs/606606-backend-python-engineer/
Middle Python Engineer (BI),"Python,PostgreSQL,Flask,FastApi,SQL,Git,SQLAlchemy,Pydantic",https://djinni.co/jobs/606516-middle-python-engineer-bi-/
Python Tech Lead,"Python,SQL,OOP,Kafka,NoSQL",https://djinni.co/jobs/373408-python-tech-lead/
Large Language Model (LLM) Engineer,Python,https://djinni.co/jobs/598951-large-language-model-llm-engineer/
Senior/Lead Django Developer(project work),"Python,Django,DRF,SQL",https://djinni.co/jobs/599180-senior-lead-django-developer-project-work-/
Software Engineer (Python),"Python,AWS,Docker,Kubernetes",https://djinni.co/jobs/522339-software-engineer-python-/
Python Developer / Web Scraping /  Scrapy,"Python,Django,SQL,Docker",https://djinni.co/jobs/606194-python-developer-web-scraping-scrapy/
Full-Stack (Python + React) Developer,"Python,React",https://djinni.co/jobs/606041-full-stack-python-react-developer/
Junior+/Middle Python Developer,"Python,Django,PostgreSQL,SQL,Celery,AWS,Docker,Django Rest Framework",https://djinni.co/jobs/606167-junior-middle-python-developer/
Middle Python Engineer для проєкту з нуля для трейдингу в криптобіржах,Python,https://djinni.co/jobs/606262-middle-python-engineer-dlia-proiektu-z-nulia-/
Senior Python Engineer для проєкту з нуля для трейдингу в криптобіржах,Python,https://djinni.co/jobs/606263-senior-python-engineer-dlia-proiektu-z-nulia-/
DevOps engineer (with Python),"Python,Git,AWS,Docker,Kubernetes",https://djinni.co/jobs/606369-devops-engineer-with-python-/
Python/React Engineer,"Python,PostgreSQL,SQL,AWS,React",https://djinni.co/jobs/605740-python-react-engineer/
Middle Python Developer,"Python,Django,Git,Celery,AWS",https://djinni.co/jobs/575048-middle-python-developer/
Senior Python Developer (ADTECH),"Python,SQL,AWS,JavaScript,React",https://djinni.co/jobs/606312-senior-python-developer-adtech-/
Senior Full-Stack Developer,"Python,SQL,AWS,CSS,React",https://djinni.co/jobs/558191-senior-full-stack-developer/
DevOps Engineer with Python,"Python,Git,AWS,Docker,OOP,Kubernetes",https://djinni.co/jobs/605924-devops-engineer-with-python/
Strong Junior/Middle Python Developer,"Python,Django,Flask,JavaScript,HTML,CSS",https://djinni.co/jobs/605878-strong-junior-middle-python-developer/
Python Developer for EdTech company,Python,https://djinni.co/jobs/605890-python-developer-for-edtech-company/
Senior Python Developer (AdTech),"Python,SQL,AWS,JavaScript,React",https://djinni.co/jobs/605786-senior-python-developer-adtech-/
Midle+ Python Engineer,"Python,Django,Redis,PostgreSQL,FastApi,SQL,Git,Celery,AWS,Docker,Kubernetes,React",https://djinni.co/jobs/605605-midle-python-engineer/
DevOps engineer (with Python),"Python,Git,AWS,Docker,OOP,Kubernetes,Linux",https://djinni.co/jobs/605717-devops-engineer-with-python-/
Middle/Senior Python/Spark developer for global product (audit and assurance company BIG FOUR),"Python,MySQL,Mongo,PostgreSQL,Flask,SQL,Git,REST Api,Docker,Kubernetes,Linux,NoSQL",https://djinni.co/jobs/605521-middle-senior-python-spark-developer-for-glob/
"Python Developers (Permanent/ requires relocation to Dubai, UAE)",Python,https://djinni.co/jobs/556815-python-developers-permanent-requires-relocati/
Python ETL AI Developer,"Python,Django,PostgreSQL,SQL,Celery,AWS,Docker,Django Rest Framework",https://djinni.co/jobs/605553-python-etl-ai-developer/
Python Full-Stack Developer,"Python,SQL,AWS,React",https://djinni.co/jobs/605513-python-full-stack-developer/
Full-Stack Developer (Python/React),"Python,Git,AWS,JavaScript,HTML,CSS,OOP,React",https://djinni.co/jobs/483770-full-stack-developer-python-react-/
Software Engineer (Python + ERP Next) for an E-commerce project,Python,https://djinni.co/jobs/605696-software-engineer-python-erp-next-for-an-e-co/
Full Stack Python/React Developer,"Python,Django,React",https://djinni.co/jobs/605356-full-stack-python-react-developer/
Reef Technologies Senior Python Backend Engineer,"Python,Git",https://djinni.co/jobs/605658-reef-technologies-senior-python-backend-engin/
Python Developer,"Python,Django,FastApi,SQL,Git,REST Api,Linux,NoSQL",https://djinni.co/jobs/605612-python-developer/
Backend Python Engineer,"Python,Django,Mongo,SQL,Celery,AWS,Docker,Kubernetes",https://djinni.co/jobs/605125-backend-python-engineer/
Middle Python Developer (Automation Team),"Python,Django,MySQL,PostgreSQL,Flask,SQL,Git,AWS,Docker,OOP,Linux,NoSQL",https://djinni.co/jobs/578637-middle-python-developer-automation-team-/
Middle Python Developer,"Python,Mongo,Redis,PostgreSQL,SQL,Docker,Kafka,Kubernetes",https://djinni.co/jobs/545042-middle-python-developer/
Senior Python Developer,"Python,Django,Mongo,PostgreSQL,Flask,FastApi,SQL,Git,AWS,Docker,OOP,NoSQL",https://djinni.co/jobs/597819-senior-python-developer/
Python developer,"Python,Django,Mongo,Redis,Flask,FastApi,SQL,Git,REST Api,Docker,OOP,Linux",https://djinni.co/jobs/597076-python-developer/
Full-Stack Developer (Python/React),"Python,Git,AWS,JavaScript,HTML,CSS,OOP,React",https://djinni.co/jobs/604801-full-stack-developer-python-react-/
"Senior FS developer (Python, Django, TS)","Python,Django,AWS,React",https://djinni.co/jobs/604715-senior-fs-developer-python-django-ts-/
Full-Stack Developer (Python/React),"Python,Git,AWS,JavaScript,HTML,CSS,OOP,React",https://djinni.co/jobs/558714-full-stack-developer-python-react-/
